Condominio,Tamanho,Quartos,Banheiros,Suites,Vagas,Elevador,Mobiliado,Piscina,Novo,Regiao,Valor,Ano
770,53,2,2,1,1,Nao,Nao,Sim,Nao,Centro,2500.0,2015
1032,86,1,2,1,2,Sim,Sim,Sim,Nao,Centro,5000.0,2019
290,36,1,2,1,1,Sim,Sim,Nao,Nao,Centro,1600.0,2007
505,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1500.0,2008
821,89,3,3,1,1,Sim,Nao,Nao,Nao,Centro,2200.0,2009
290,32,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1350.0,2004
790,89,3,3,1,1,Sim,Nao,Nao,Nao,Centro,2800.0,2014
0,75,2,2,1,1,Nao,Nao,Nao,Nao,Centro,2300.0,2014
553,52,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1100.0,1998
442,60,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1550.0,2005
0,40,1,2,1,1,Nao,Nao,Nao,Nao,Centro,1180.0,2004
895,60,2,2,1,2,Nao,Nao,Sim,Nao,Centro,2800.0,2012
550,79,3,2,1,2,Sim,Nao,Sim,Nao,Centro,3300.0,2014
0,80,3,2,1,2,Nao,Nao,Nao,Nao,Centro,3400.0,2016
372,51,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1200.0,2001
960,90,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2010
900,70,2,2,1,1,Sim,Nao,Nao,Nao,Centro,2300.0,2013
310,34,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1400.0,2004
574,79,2,2,1,2,Sim,Nao,Sim,Nao,Centro,4000.0,2015
800,89,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1700.0,2007
300,37,1,2,1,1,Nao,Nao,Nao,Nao,Centro,1200.0,2003
820,76,2,2,1,1,Nao,Nao,Sim,Nao,Centro,1900.0,2010
559,32,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1000.0,1998
597,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1200.0,2001
310,45,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1000.0,2000
550,50,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1400.0,2000
1080,90,2,3,1,2,Sim,Sim,Sim,Nao,Centro,3200.0,2015
3300,250,4,7,4,4,Nao,Nao,Sim,Nao,Centro,4500.0,2016
0,80,3,2,1,1,Nao,Nao,Nao,Nao,Centro,1850.0,2010
650,80,3,2,1,2,Nao,Nao,Nao,Nao,Centro,4000.0,2018
340,70,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1400.0,2004
292,45,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1400.0,2000
706,67,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1600.0,2003
300,35,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1500.0,2004
968,89,3,3,1,1,Sim,Nao,Nao,Nao,Centro,2300.0,2010
1300,110,3,3,1,2,Sim,Nao,Sim,Nao,Centro,2500.0,2014
530,50,2,2,1,1,Sim,Nao,Sim,Nao,Centro,1900.0,2007
960,90,3,2,1,1,Sim,Nao,Nao,Nao,Centro,2500.0,2011
752,86,3,2,1,2,Sim,Sim,Sim,Nao,Centro,2900.0,2013
240,70,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1400.0,2006
550,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1600.0,2008
350,36,1,2,1,1,Sim,Sim,Nao,Nao,Centro,1600.0,2008
530,56,1,2,1,1,Sim,Sim,Nao,Nao,Centro,1650.0,2009
574,80,3,2,1,2,Sim,Nao,Sim,Nao,Centro,3850.0,2019
1000,69,2,2,1,2,Sim,Sim,Sim,Nao,Centro,3800.0,2015
335,76,3,2,1,1,Nao,Nao,Nao,Nao,Centro,1500.0,2005
810,80,2,2,1,1,Sim,Nao,Nao,Nao,Centro,2200.0,2013
600,48,1,2,1,1,Sim,Sim,Sim,Nao,Centro,2500.0,2011
