Ano,Potencia_motor,Cilindros_motor,Consumo_estrada_km,Valor
2005,275.0,6.0,28.96812,29695
2016,170.0,4.0,61.15492,30495
2016,248.0,6.0,45.06152,37650
2015,138.0,4.0,57.93624,16170
1991,162.0,4.0,32.1868,2000
2012,152.0,4.0,37.01482,19299
2016,365.0,6.0,33.79614,42600
1994,230.0,6.0,38.62416,2384
1995,205.0,6.0,41.84284,2000
2015,155.0,4.0,65.98294,17995
2015,106.0,4.0,59.54558,14845
1998,150.0,6.0,32.1868,2930
1995,134.0,4.0,30.57746,2130
2007,274.0,4.0,37.01482,27995
2008,264.0,6.0,38.62416,25495
2009,200.0,4.0,49.88954,24770
2008,253.0,6.0,35.40548,27225
2016,270.0,6.0,51.49888,32690
2005,210.0,4.0,45.06152,23670
2017,306.0,6.0,45.06152,43010
2009,107.0,4.0,54.71756,14100
1991,162.0,4.0,32.1868,2000
2015,310.0,6.0,45.06152,65900
2017,168.0,4.0,46.67086,23600
2017,160.0,4.0,57.93624,16775
2017,280.0,6.0,40.2335,37730
2012,225.0,8.0,27.35878,27840
1993,200.0,4.0,40.2335,2078
2017,284.0,6.0,43.45218,36100
2014,225.0,8.0,25.74944,30230
2014,305.0,4.0,37.01482,37845
2016,184.0,4.0,48.2802,26515
2013,280.0,6.0,46.67086,35905
2009,219.0,6.0,41.84284,24610
2016,302.0,6.0,46.67086,53100
2001,203.0,6.0,32.1868,21035
2016,231.0,4.0,49.88954,37080
2014,270.0,6.0,41.84284,44095
2009,240.0,6.0,41.84284,23055
2016,138.0,4.0,59.54558,17905
2013,200.0,4.0,53.10822,31495
2015,285.0,6.0,38.62416,26105
2016,241.0,4.0,45.06152,38950
2013,98.0,4.0,70.81096,18600
2009,207.0,6.0,30.57746,22305
2016,138.0,4.0,53.10822,29785
2015,526.0,8.0,33.79614,61295
2016,240.0,6.0,49.88954,55600
2017,164.0,4.0,54.71756,21990
2015,240.0,4.0,54.71756,48750
2016,300.0,6.0,48.2802,25830
2005,200.0,6.0,37.01482,28110
2016,184.0,4.0,57.93624,21995
1997,200.0,6.0,32.1868,2265
2017,240.0,4.0,48.2802,40950
1996,118.0,4.0,48.2802,2000
2016,188.0,4.0,49.88954,26940
2016,184.0,4.0,56.3269,25445
2016,355.0,8.0,35.40548,60000
2003,190.0,6.0,27.35878,23985
2016,304.0,6.0,45.06152,31065
2004,200.0,6.0,40.2335,23520
2016,311.0,6.0,46.67086,38750
2013,265.0,4.0,40.2335,28295
2017,300.0,6.0,46.67086,44650
2015,138.0,4.0,59.54558,18090
2015,182.0,4.0,57.93624,33635
2002,175.0,6.0,24.1401,21430
2016,178.0,4.0,56.3269,23070
1995,160.0,6.0,41.84284,2000
2016,193.0,4.0,69.20162,30100
2005,232.0,6.0,38.62416,36990
1993,230.0,8.0,24.1401,2000
1995,164.0,6.0,38.62416,2000
2016,315.0,6.0,45.06152,63900
2010,239.0,5.0,28.96812,38365
2000,122.0,4.0,51.49888,2000
2016,195.0,4.0,49.88954,27095
2009,210.0,6.0,32.1868,22560
2017,385.0,8.0,33.79614,35870
2015,138.0,4.0,59.54558,19680
1992,172.0,6.0,32.1868,2000
2003,135.0,4.0,41.84284,13930
2006,300.0,8.0,25.74944,36525
2015,325.0,6.0,45.06152,45150
2016,176.0,4.0,49.88954,24350
1995,225.0,6.0,41.84284,2000
2014,140.0,4.0,62.76426,27665
2015,272.0,4.0,45.06152,57670
2011,152.0,4.0,35.40548,22479
2011,162.0,4.0,43.45218,27999
2010,155.0,4.0,51.49888,19030
2012,140.0,4.0,62.76426,26640
1990,156.0,6.0,38.62416,2000
2009,330.0,6.0,41.84284,35900
2011,320.0,8.0,33.79614,36300
1993,389.0,12.0,24.1401,3211
2017,175.0,4.0,48.2802,25550
1991,170.0,8.0,20.92142,2000
2008,200.0,4.0,46.67086,24300
2009,328.0,6.0,41.84284,33700
2004,140.0,4.0,53.10822,17070
2013,265.0,6.0,37.01482,42650
2015,310.0,4.0,49.88954,34800
2017,200.0,4.0,49.88954,37820
2003,190.0,6.0,33.79614,24695
2003,185.0,6.0,35.40548,33790
2016,240.0,4.0,41.84284,48950
2005,210.0,4.0,37.01482,24345
2017,250.0,4.0,41.84284,45750
2011,166.0,4.0,40.2335,23449
2017,335.0,6.0,43.45218,45995
2005,205.0,6.0,43.45218,32385
2016,158.0,4.0,65.98294,21040
2012,158.0,4.0,41.84284,21715
2014,662.0,8.0,38.62416,55110
2016,175.0,4.0,45.06152,31300
1992,322.0,8.0,25.74944,3245
2015,200.0,4.0,48.2802,42745
2015,170.0,4.0,57.93624,28115
2015,266.0,6.0,40.2335,31430
2001,188.0,8.0,25.74944,34350
1996,120.0,4.0,46.67086,2000
2016,240.0,4.0,48.2802,46675
2002,122.0,4.0,49.88954,13799
2015,291.0,4.0,35.40548,38995
2017,260.0,6.0,45.06152,39180
2004,225.0,4.0,45.06152,20450
1995,260.0,8.0,37.01482,2000
2009,170.0,5.0,46.67086,17400
2002,300.0,8.0,40.2335,47660
2016,283.0,6.0,40.2335,26195
2013,148.0,4.0,46.67086,20449
2016,316.0,4.0,40.2335,65700
2015,272.0,4.0,48.2802,51270
2000,305.0,8.0,37.01482,9567
2007,295.0,8.0,27.35878,31965
2017,365.0,6.0,30.57746,61061
2012,220.0,4.0,45.06152,40840
2003,170.0,6.0,43.45218,22935
2007,295.0,8.0,30.57746,25915
2017,485.0,8.0,37.01482,42795
1994,200.0,8.0,25.74944,2000
1999,218.0,6.0,37.01482,5306
2016,268.0,4.0,43.45218,26595
2014,360.0,6.0,54.71756,55650
2016,288.0,6.0,35.40548,47515
2015,150.0,4.0,64.3736,29095
2016,240.0,6.0,49.88954,50200
2001,205.0,6.0,32.1868,28050
2017,188.0,4.0,65.98294,25675
2008,285.0,6.0,32.1868,29880
1990,105.0,4.0,40.2335,2000
2009,285.0,6.0,32.1868,29155
2015,285.0,6.0,35.40548,30610
2009,260.0,4.0,43.45218,38380
2016,455.0,8.0,46.67086,59400
2016,355.0,8.0,37.01482,51090
2017,268.0,4.0,46.67086,53695
2014,318.0,6.0,43.45218,47995
2014,261.0,6.0,32.1868,31370
2016,200.0,4.0,51.49888,34655
2011,187.0,4.0,54.71756,36330
1994,160.0,6.0,41.84284,2000
2016,385.0,8.0,33.79614,46895
2004,150.0,4.0,43.45218,19970
2017,285.0,6.0,35.40548,39185
2017,130.0,4.0,57.93624,17900
2016,278.0,6.0,33.79614,32460
2013,201.0,4.0,49.88954,33610
1997,200.0,6.0,28.96812,2000
2015,132.0,4.0,59.54558,16950
2015,159.0,4.0,38.62416,22525
2015,305.0,6.0,48.2802,26995
1999,220.0,8.0,25.74944,3269
2013,200.0,4.0,49.88954,30395
2016,170.0,4.0,56.3269,36600
2015,175.0,4.0,53.10822,26995
2006,155.0,4.0,49.88954,22375
2007,285.0,8.0,30.57746,25215
2001,140.0,4.0,45.06152,22400
2017,170.0,4.0,48.2802,29430
2016,240.0,4.0,54.71756,38350
2014,261.0,6.0,35.40548,23390
2017,290.0,6.0,35.40548,41150
2012,242.0,5.0,33.79614,29125
2015,196.0,4.0,57.93624,28195
2015,155.0,4.0,65.98294,23795
2002,200.0,6.0,41.84284,20810
2017,370.0,8.0,40.2335,34790
2017,285.0,6.0,38.62416,29610
2015,115.0,4.0,54.71756,16215
2014,280.0,6.0,35.40548,47700
2013,148.0,4.0,53.10822,22995
2016,455.0,8.0,46.67086,63855
2017,302.0,6.0,37.01482,52000
2016,381.0,8.0,27.35878,45325
2006,165.0,4.0,40.2335,23295
1993,100.0,4.0,46.67086,2000
2015,381.0,8.0,27.35878,34710
2014,155.0,4.0,49.88954,24045
2013,332.0,8.0,37.01482,48335
2004,185.0,6.0,32.1868,27499
1998,155.0,4.0,40.2335,4299
2016,175.0,4.0,57.93624,24145
2015,194.0,4.0,48.2802,41310
2016,160.0,4.0,59.54558,23120
2017,241.0,4.0,51.49888,47950
2014,270.0,6.0,35.40548,35725
2017,141.0,4.0,49.88954,23515
1992,170.0,8.0,37.01482,2000
2016,170.0,4.0,57.93624,25380
2015,305.0,6.0,45.06152,38850
2015,200.0,4.0,41.84284,35565
2003,244.0,6.0,40.2335,24875
2016,290.0,6.0,49.88954,41575
2010,328.0,6.0,43.45218,33250
2016,195.0,4.0,49.88954,29460
2011,328.0,6.0,40.2335,41550
1997,155.0,4.0,41.84284,4182
