Valor,Tamanho,Quartos,Banheiros,Suites,Vagas,Elevador,Mobiliado,Piscina,Novo,Regiao
2500,53,2,2,1,1,Nao,Nao,Sim,Nao,Centro
5000,86,1,2,1,2,Sim,Sim,Sim,Nao,Centro
1600,36,1,2,1,1,Sim,Sim,Nao,Nao,Centro
1500,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro
2200,89,3,3,1,1,Sim,Nao,Nao,Nao,Centro
1350,32,1,2,1,1,Sim,Nao,Nao,Nao,Centro
2800,89,3,3,1,1,Sim,Nao,Nao,Nao,Centro
2300,75,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1100,52,1,2,1,1,Sim,Nao,Nao,Nao,Centro
1550,60,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1180,40,1,2,1,1,Nao,Nao,Nao,Nao,Centro
2800,60,2,2,1,2,Nao,Nao,Sim,Nao,Centro
3300,79,3,2,1,2,Sim,Nao,Sim,Nao,Centro
3400,80,3,2,1,2,Nao,Nao,Nao,Nao,Centro
1200,51,1,2,1,1,Sim,Nao,Nao,Nao,Centro
2500,90,3,2,1,1,Nao,Nao,Nao,Nao,Centro
2300,70,2,2,1,1,Sim,Nao,Nao,Nao,Centro
1400,34,1,2,1,1,Sim,Nao,Nao,Nao,Centro
4000,79,2,2,1,2,Sim,Nao,Sim,Nao,Centro
1700,89,2,2,1,1,Sim,Nao,Nao,Nao,Centro
1200,37,1,2,1,1,Nao,Nao,Nao,Nao,Centro
1900,76,2,2,1,1,Nao,Nao,Sim,Nao,Centro
1000,32,1,2,1,1,Sim,Nao,Nao,Nao,Centro
1200,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1000,45,1,2,1,1,Sim,Nao,Nao,Nao,Centro
1400,50,2,2,1,1,Sim,Nao,Nao,Nao,Centro
3200,90,2,3,1,2,Sim,Sim,Sim,Nao,Centro
4500,250,4,7,4,4,Nao,Nao,Sim,Nao,Centro
1850,80,3,2,1,1,Nao,Nao,Nao,Nao,Centro
4000,80,3,2,1,2,Nao,Nao,Nao,Nao,Centro
1400,70,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1400,45,1,2,1,1,Sim,Nao,Nao,Nao,Centro
1600,67,2,2,1,1,Sim,Nao,Nao,Nao,Centro
1500,35,1,2,1,1,Sim,Nao,Nao,Nao,Centro
2300,89,3,3,1,1,Sim,Nao,Nao,Nao,Centro
2500,110,3,3,1,2,Sim,Nao,Sim,Nao,Centro
1900,50,2,2,1,1,Sim,Nao,Sim,Nao,Centro
2500,90,3,2,1,1,Sim,Nao,Nao,Nao,Centro
2900,86,3,2,1,2,Sim,Sim,Sim,Nao,Centro
1400,70,2,2,1,1,Sim,Nao,Nao,Nao,Centro
1600,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1600,36,1,2,1,1,Sim,Sim,Nao,Nao,Centro
1650,56,1,2,1,1,Sim,Sim,Nao,Nao,Centro
3850,80,3,2,1,2,Sim,Nao,Sim,Nao,Centro
3800,69,2,2,1,2,Sim,Sim,Sim,Nao,Centro
1500,76,3,2,1,1,Nao,Nao,Nao,Nao,Centro
2200,80,2,2,1,1,Sim,Nao,Nao,Nao,Centro
2500,48,1,2,1,1,Sim,Sim,Sim,Nao,Centro
1400,50,2,2,1,1,Sim,Nao,Nao,Nao,Centro
1200,61,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1400,35,1,2,1,1,Sim,Nao,Nao,Nao,Centro
1500,110,2,2,1,1,Nao,Nao,Nao,Nao,Centro
3500,52,2,2,1,1,Sim,Sim,Sim,Nao,Centro
1850,50,2,2,1,1,Sim,Nao,Nao,Nao,Centro
1500,32,1,2,1,1,Nao,Nao,Nao,Nao,Centro
1250,80,1,2,1,1,Sim,Nao,Nao,Nao,Centro
1200,36,1,2,1,1,Nao,Nao,Nao,Nao,Centro
4000,160,3,7,3,3,Nao,Nao,Sim,Nao,Centro
2500,120,3,2,1,2,Nao,Nao,Sim,Nao,Centro
1400,75,2,2,1,1,Nao,Nao,Nao,Nao,Centro
2900,139,3,2,1,1,Sim,Nao,Nao,Nao,Centro
1600,62,1,2,1,1,Sim,Sim,Nao,Nao,Centro
4400,79,2,2,1,2,Sim,Nao,Nao,Nao,Centro
1500,70,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1400,32,1,2,1,1,Nao,Nao,Nao,Nao,Centro
1650,36,1,2,1,1,Nao,Sim,Nao,Nao,Centro
2600,80,2,2,1,2,Nao,Sim,Nao,Nao,Centro
1660,49,2,2,1,1,Sim,Nao,Nao,Nao,Centro
4000,79,2,2,1,2,Nao,Nao,Nao,Nao,Centro
1600,50,1,2,1,1,Nao,Nao,Nao,Nao,Centro
3700,50,1,2,1,1,Nao,Sim,Sim,Nao,Centro
1600,60,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2000,60,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2100,55,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2000,40,1,2,1,1,Nao,Nao,Sim,Nao,Centro
2200,35,1,1,0,1,Nao,Sim,Nao,Nao,Centro
980,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro
3750,109,3,2,1,2,Nao,Nao,Nao,Nao,Centro
2800,38,1,2,1,1,Nao,Sim,Sim,Nao,Centro
3000,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
3100,30,1,2,1,1,Nao,Sim,Sim,Nao,Centro
4000,64,3,2,1,1,Nao,Sim,Sim,Nao,Centro
3500,120,3,2,1,1,Nao,Nao,Nao,Nao,Centro
3200,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
1500,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1800,70,1,2,0,0,Sim,Nao,Nao,Nao,Centro
2000,61,2,2,0,1,Sim,Nao,Nao,Nao,Centro
5000,56,2,2,1,1,Nao,Sim,Sim,Nao,Centro
5000,150,4,2,0,1,Nao,Nao,Nao,Nao,Centro
3500,73,3,1,0,2,Nao,Nao,Sim,Nao,Centro
4500,207,3,2,1,3,Nao,Nao,Nao,Nao,Centro
1200,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro
3000,90,2,1,0,1,Nao,Nao,Nao,Nao,Centro
